dataset_id,pmid,cell_type
N1_ncbi_literature,10910069,Memory CD8 T cell
N1_ncbi_literature,10925252,Memory CD4 T cell
N1_ncbi_literature,10925252,Naive CD4 T cell
N1_ncbi_literature,10940878,Memory CD4 T cell
N1_ncbi_literature,10940908,gamma delta T
N1_ncbi_literature,10950768,Naive CD4 T cell
N1_ncbi_literature,10952725,Naive CD8 T cell
N1_ncbi_literature,10964257,gamma delta T
N1_ncbi_literature,10967179,Memory CD4 T cell
N1_ncbi_literature,10971404,gamma delta T
N1_ncbi_literature,10975388,gamma delta T
N1_ncbi_literature,10979980,Naive CD4 T cell
N1_ncbi_literature,10982828,Naive CD4 T cell
N1_ncbi_literature,10998137,Proliferating T cell
N1_ncbi_literature,11001529,Naive CD8 T cell
N1_ncbi_literature,11013009,gamma delta T
N1_ncbi_literature,11014945,gamma delta T
N1_ncbi_literature,11015439,Naive CD4 T cell
N1_ncbi_literature,11017100,Memory CD4 T cell
N1_ncbi_literature,11017100,Naive CD8 T cell
N1_ncbi_literature,11026443,DN T cell
N1_ncbi_literature,11032239,Naive CD4 T cell
N1_ncbi_literature,11037980,Memory CD4 T cell
N1_ncbi_literature,11046069,DN T cell
N1_ncbi_literature,11048969,gamma delta T
N1_ncbi_literature,11071244,gamma delta T
N1_ncbi_literature,11071646,Naive CD4 T cell
N1_ncbi_literature,11090067,gamma delta T
N1_ncbi_literature,11093135,gamma delta T
N1_ncbi_literature,11097309,Memory CD4 T cell
N1_ncbi_literature,11104796,Naive CD8 T cell
N1_ncbi_literature,11116953,gamma delta T
N1_ncbi_literature,11116954,gamma delta T
N1_ncbi_literature,11116956,gamma delta T
N1_ncbi_literature,11116957,gamma delta T
N1_ncbi_literature,11116958,gamma delta T
N1_ncbi_literature,11116960,gamma delta T
N1_ncbi_literature,11118066,Naive CD4 T cell
N1_ncbi_literature,11118073,Naive CD4 T cell
N1_ncbi_literature,11119267,gamma delta T
N1_ncbi_literature,11124845,Memory CD8 T cell
N1_ncbi_literature,11124847,Memory CD8 T cell
N1_ncbi_literature,11131151,Proliferating T cell
N1_ncbi_literature,11134499,Naive CD4 T cell
N1_ncbi_literature,11145663,Memory CD4 T cell
N1_ncbi_literature,11154870,Proliferating T cell
N1_ncbi_literature,11154926,gamma delta T
N1_ncbi_literature,11157487,Memory CD8 T cell
N1_ncbi_literature,11161454,Memory CD4 T cell
N1_ncbi_literature,11164470,Memory CD8 T cell
N1_ncbi_literature,11166373,Naive CD4 T cell
N1_ncbi_literature,11169205,gamma delta T
N1_ncbi_literature,11173910,gamma delta T
N1_ncbi_literature,11175814,Naive CD4 T cell
N1_ncbi_literature,11176268,Memory CD4 T cell
N1_ncbi_literature,11177394,Memory CD4 T cell
N1_ncbi_literature,11180107,gamma delta T
N1_ncbi_literature,11193039,gamma delta T
N1_ncbi_literature,11208502,gamma delta T
N1_ncbi_literature,11226523,gamma delta T
N1_ncbi_literature,11238603,gamma delta T
N1_ncbi_literature,11238628,Memory CD8 T cell
N1_ncbi_literature,11238637,gamma delta T
N1_ncbi_literature,11241044,gamma delta T
N1_ncbi_literature,11242051,Memory CD8 T cell
N1_ncbi_literature,11244029,Naive CD4 T cell
N1_ncbi_literature,11245633,gamma delta T
N1_ncbi_literature,11248805,Naive CD4 T cell
N1_ncbi_literature,11254680,Naive CD4 T cell
N1_ncbi_literature,11254689,Naive CD8 T cell
N1_ncbi_literature,11254703,Naive CD4 T cell
N1_ncbi_literature,11260307,gamma delta T
N1_ncbi_literature,11269675,DN T cell
N1_ncbi_literature,11272897,gamma delta T
N1_ncbi_literature,11278296,Proliferating T cell
N1_ncbi_literature,11278429,gamma delta T
N1_ncbi_literature,11279081,gamma delta T
N1_ncbi_literature,11279612,Memory CD4 T cell
N1_ncbi_literature,11279612,Memory CD8 T cell
N1_ncbi_literature,11292740,gamma delta T
N1_ncbi_literature,11300472,Naive CD4 T cell
N1_ncbi_literature,11300472,Naive CD8 T cell
N1_ncbi_literature,11309229,gamma delta T
N1_ncbi_literature,11312659,gamma delta T
N1_ncbi_literature,11313389,gamma delta T
N1_ncbi_literature,11313392,Naive CD4 T cell
N1_ncbi_literature,11321236,Naive CD4 T cell
N1_ncbi_literature,11342312,gamma delta T
N1_ncbi_literature,11342451,Naive CD4 T cell
N1_ncbi_literature,11352245,DN T cell
N1_ncbi_literature,11365130,Memory CD4 T cell
N1_ncbi_literature,11378862,Proliferating T cell
N1_ncbi_literature,11389026,Memory CD4 T cell
N1_ncbi_literature,11390436,Memory CD4 T cell
N1_ncbi_literature,11390478,Naive CD4 T cell
N1_ncbi_literature,11390484,Memory CD4 T cell
N1_ncbi_literature,11390484,Naive CD4 T cell
N1_ncbi_literature,11397507,Memory CD4 T cell
N1_ncbi_literature,11397507,Naive CD4 T cell
N1_ncbi_literature,11401457,Naive CD4 T cell
N1_ncbi_literature,11407975,gamma delta T
N1_ncbi_literature,11409875,Memory CD4 T cell
N1_ncbi_literature,11413507,DN T cell
N1_ncbi_literature,11418475,Naive CD8 T cell
N1_ncbi_literature,11418629,gamma delta T
N1_ncbi_literature,11419178,gamma delta T
N1_ncbi_literature,11433389,Memory CD8 T cell
N1_ncbi_literature,11437630,gamma delta T
N1_ncbi_literature,11441999,Proliferating T cell
N1_ncbi_literature,11450149,Memory CD4 T cell
N1_ncbi_literature,11460307,gamma delta T
N1_ncbi_literature,11465100,Memory CD4 T cell
N1_ncbi_literature,11470920,Naive CD8 T cell
N1_ncbi_literature,11478152,gamma delta T
N1_ncbi_literature,11478153,gamma delta T
N1_ncbi_literature,11478154,gamma delta T
N1_ncbi_literature,11478156,gamma delta T
N1_ncbi_literature,11478158,gamma delta T
N1_ncbi_literature,11496241,Memory CD4 T cell
N1_ncbi_literature,11498303,Memory CD8 T cell
N1_ncbi_literature,11501500,gamma delta T
N1_ncbi_literature,11528519,Naive CD4 T cell
N1_ncbi_literature,11529919,Memory CD4 T cell
N1_ncbi_literature,11529919,Naive CD4 T cell
N1_ncbi_literature,11529924,gamma delta T
N1_ncbi_literature,11546663,gamma delta T
N1_ncbi_literature,11546935,Memory CD4 T cell
N1_ncbi_literature,11546950,Memory CD4 T cell
N1_ncbi_literature,11562498,Memory CD4 T cell
N1_ncbi_literature,11562498,Naive CD4 T cell
N1_ncbi_literature,11564770,Naive CD4 T cell
N1_ncbi_literature,11579254,Memory CD4 T cell
N1_ncbi_literature,11591771,Memory CD8 T cell
N1_ncbi_literature,11594582,Memory CD4 T cell
N1_ncbi_literature,11600820,Memory CD4 T cell
N1_ncbi_literature,11602752,Memory CD4 T cell
N1_ncbi_literature,11642499,Naive CD4 T cell
N1_ncbi_literature,11668342,Memory CD8 T cell
N1_ncbi_literature,11672548,Naive CD4 T cell
N1_ncbi_literature,11675382,gamma delta T
N1_ncbi_literature,11696202,Naive CD4 T cell
N1_ncbi_literature,11696580,gamma delta T
N1_ncbi_literature,11696596,Naive CD8 T cell
N1_ncbi_literature,11698700,Naive CD4 T cell
N1_ncbi_literature,11709092,Proliferating T cell
N1_ncbi_literature,11714765,Memory CD4 T cell
N1_ncbi_literature,11714838,Naive CD4 T cell
N1_ncbi_literature,11717444,Memory CD4 T cell
N1_ncbi_literature,11721322,Naive CD4 T cell
N1_ncbi_literature,11721322,Naive CD8 T cell
N1_ncbi_literature,11722624,Naive CD4 T cell
N1_ncbi_literature,11737950,gamma delta T
N1_ncbi_literature,11745372,gamma delta T
N1_ncbi_literature,11748270,Naive CD4 T cell
N1_ncbi_literature,11748273,Memory CD4 T cell
N1_ncbi_literature,11748927,gamma delta T
N1_ncbi_literature,11752460,Naive CD4 T cell
N1_ncbi_literature,11752883,Memory CD8 T cell
N1_ncbi_literature,11753611,Proliferating T cell
N1_ncbi_literature,11756982,Naive CD4 T cell
N1_ncbi_literature,11769479,gamma delta T
N1_ncbi_literature,11772505,gamma delta T
N1_ncbi_literature,11777987,DN T cell
N1_ncbi_literature,11778235,Proliferating T cell
N1_ncbi_literature,11798833,gamma delta T
N1_ncbi_literature,11801653,Naive CD4 T cell
N1_ncbi_literature,11804672,Memory CD8 T cell
N1_ncbi_literature,11813156,Naive CD8 T cell
N1_ncbi_literature,11818490,Memory CD4 T cell
N1_ncbi_literature,11828007,Naive CD4 T cell
N1_ncbi_literature,11829933,gamma delta T
N1_ncbi_literature,11841457,Memory CD4 T cell
N1_ncbi_literature,11841457,Naive CD4 T cell
N1_ncbi_literature,11846457,Naive CD4 T cell
N1_ncbi_literature,11854360,Naive CD4 T cell
N1_ncbi_literature,11854360,Naive CD8 T cell
N1_ncbi_literature,11857339,Memory CD4 T cell
N1_ncbi_literature,11859109,Memory CD8 T cell
N1_ncbi_literature,11872611,Memory CD8 T cell
N1_ncbi_literature,11876057,gamma delta T
N1_ncbi_literature,11884433,gamma delta T
N1_ncbi_literature,11884436,Memory CD8 T cell
N1_ncbi_literature,11891200,Proliferating T cell
N1_ncbi_literature,11895330,Naive CD8 T cell
N1_ncbi_literature,11901196,Naive CD8 T cell
N1_ncbi_literature,11927944,Memory CD8 T cell
N1_ncbi_literature,11929129,Memory CD8 T cell
N1_ncbi_literature,11932386,Memory CD8 T cell
N1_ncbi_literature,11953031,gamma delta T
N1_ncbi_literature,11956825,gamma delta T
N1_ncbi_literature,11962096,gamma delta T
N1_ncbi_literature,11968778,gamma delta T
N1_ncbi_literature,11973133,Memory CD8 T cell
N1_ncbi_literature,11979436,gamma delta T
N1_ncbi_literature,11981357,Memory CD4 T cell
N1_ncbi_literature,11982599,Naive CD4 T cell
N1_ncbi_literature,11983910,Memory CD4 T cell
N1_ncbi_literature,11985663,Naive CD4 T cell
N1_ncbi_literature,11986671,Memory CD4 T cell
N1_ncbi_literature,11992577,Memory CD8 T cell
N1_ncbi_literature,11994442,gamma delta T
N1_ncbi_literature,12002278,Memory CD4 T cell
N1_ncbi_literature,12004268,Naive CD4 T cell
N1_ncbi_literature,12008786,Memory CD4 T cell
N1_ncbi_literature,12016128,gamma delta T
N1_ncbi_literature,12021953,gamma delta T
N1_ncbi_literature,12023349,Memory CD8 T cell
N1_ncbi_literature,12045489,Memory CD4 T cell
N1_ncbi_literature,12048362,Memory CD4 T cell
N1_ncbi_literature,12053060,Memory CD4 T cell
N1_ncbi_literature,12054069,Memory CD8 T cell
N1_ncbi_literature,12055216,gamma delta T
N1_ncbi_literature,12055240,Memory CD4 T cell
N1_ncbi_literature,12055240,Naive CD4 T cell
N1_ncbi_literature,12055250,gamma delta T
N1_ncbi_literature,12059946,Memory CD4 T cell
N1_ncbi_literature,12059946,Naive CD4 T cell
N1_ncbi_literature,12070022,Naive CD4 T cell
N1_ncbi_literature,12072190,gamma delta T
N1_ncbi_literature,12076868,gamma delta T
N1_ncbi_literature,12088663,Naive CD4 T cell
N1_ncbi_literature,12090434,gamma delta T
N1_ncbi_literature,12096033,Naive CD4 T cell
N1_ncbi_literature,12115626,Naive CD4 T cell
N1_ncbi_literature,12115626,Proliferating T cell
N1_ncbi_literature,12119345,Naive CD8 T cell
N1_ncbi_literature,12133939,Memory CD4 T cell
N1_ncbi_literature,12133944,gamma delta T
N1_ncbi_literature,12139945,DN T cell
N1_ncbi_literature,12139948,Proliferating T cell
N1_ncbi_literature,12149221,Memory CD4 T cell
N1_ncbi_literature,12149467,Naive CD4 T cell
N1_ncbi_literature,12165093,Naive CD4 T cell
N1_ncbi_literature,12165500,Proliferating T cell
N1_ncbi_literature,12165552,Memory CD4 T cell
N1_ncbi_literature,12173304,gamma delta T
N1_ncbi_literature,12173306,gamma delta T
N1_ncbi_literature,12186930,Memory CD4 T cell
N1_ncbi_literature,12197883,Memory CD4 T cell
N1_ncbi_literature,12200381,Naive CD4 T cell
N1_ncbi_literature,12207353,Naive CD4 T cell
N1_ncbi_literature,12208964,Memory CD4 T cell
N1_ncbi_literature,12209081,Naive CD4 T cell
N1_ncbi_literature,12218161,Memory CD4 T cell
N1_ncbi_literature,12218385,Memory CD4 T cell
N1_ncbi_literature,12218387,Memory CD4 T cell
N1_ncbi_literature,12218387,Naive CD4 T cell
N1_ncbi_literature,12220103,DN T cell
N1_ncbi_literature,12220104,DN T cell
N1_ncbi_literature,12232849,gamma delta T
N1_ncbi_literature,12234621,Memory CD4 T cell
N1_ncbi_literature,12234752,Memory CD4 T cell
N1_ncbi_literature,12243109,Memory CD4 T cell
N1_ncbi_literature,12243109,Memory CD8 T cell
N1_ncbi_literature,12355431,Memory CD4 T cell
N1_ncbi_literature,12355431,Naive CD4 T cell
N1_ncbi_literature,12355444,Naive CD4 T cell
N1_ncbi_literature,12355447,gamma delta T
N1_ncbi_literature,12368346,Naive CD4 T cell
N1_ncbi_literature,12372344,Proliferating T cell
N1_ncbi_literature,12384425,Naive CD8 T cell
N1_ncbi_literature,12393721,Naive CD4 T cell
N1_ncbi_literature,12399972,Naive CD4 T cell
N1_ncbi_literature,12405192,Naive CD4 T cell
N1_ncbi_literature,12405192,Naive CD8 T cell
N1_ncbi_literature,12405193,Memory CD4 T cell
N1_ncbi_literature,12405194,Memory CD4 T cell
N1_ncbi_literature,12405198,Memory CD8 T cell
N1_ncbi_literature,12406097,DN T cell
N1_ncbi_literature,12406097,gamma delta T
N1_ncbi_literature,12406891,Naive CD4 T cell
N1_ncbi_literature,12409736,Naive CD4 T cell
N1_ncbi_literature,12411292,Memory CD4 T cell
N1_ncbi_literature,12417447,Memory CD4 T cell
N1_ncbi_literature,12430587,Memory CD4 T cell
N1_ncbi_literature,12431199,gamma delta T
N1_ncbi_literature,12438445,Memory CD4 T cell
N1_ncbi_literature,12441797,Naive CD4 T cell
N1_ncbi_literature,12446444,gamma delta T
N1_ncbi_literature,12452774,Memory CD4 T cell
N1_ncbi_literature,12452774,Naive CD4 T cell
N1_ncbi_literature,12452860,Memory CD8 T cell
N1_ncbi_literature,12455864,gamma delta T
N1_ncbi_literature,12461417,Memory CD8 T cell
N1_ncbi_literature,12470608,gamma delta T
N1_ncbi_literature,12472668,Naive CD4 T cell
N1_ncbi_literature,12486100,Naive CD4 T cell
N1_ncbi_literature,12486100,gamma delta T
N1_ncbi_literature,12486500,gamma delta T
N1_ncbi_literature,12487809,Memory CD8 T cell
N1_ncbi_literature,12488498,Memory CD8 T cell
N1_ncbi_literature,12492582,Proliferating T cell
N1_ncbi_literature,12496379,Memory CD4 T cell
N1_ncbi_literature,12496379,Naive CD4 T cell
N1_ncbi_literature,12496395,gamma delta T
N1_ncbi_literature,12496448,Memory CD4 T cell
N1_ncbi_literature,12502725,Memory CD8 T cell
N1_ncbi_literature,12502814,Memory CD4 T cell
N1_ncbi_literature,12506019,gamma delta T
N1_ncbi_literature,12516570,Memory CD8 T cell
N1_ncbi_literature,12517944,Naive CD8 T cell
N1_ncbi_literature,12519393,gamma delta T
N1_ncbi_literature,12519396,Naive CD4 T cell
N1_ncbi_literature,12522013,gamma delta T
N1_ncbi_literature,12525561,Memory CD4 T cell
N1_ncbi_literature,12525561,Naive CD4 T cell
N1_ncbi_literature,12525566,Naive CD4 T cell
N1_ncbi_literature,12525871,Naive CD4 T cell
N1_ncbi_literature,12531221,Proliferating T cell
N1_ncbi_literature,12538466,Memory CD4 T cell
N1_ncbi_literature,12538466,Memory CD8 T cell
N1_ncbi_literature,12538466,Naive CD4 T cell
N1_ncbi_literature,12543039,gamma delta T
N1_ncbi_literature,12552420,Memory CD8 T cell
N1_ncbi_literature,12552979,Naive CD4 T cell
N1_ncbi_literature,12556688,Memory CD4 T cell
N1_ncbi_literature,12562390,gamma delta T
N1_ncbi_literature,12566307,Proliferating T cell
N1_ncbi_literature,12586632,Proliferating T cell
N1_ncbi_literature,12589163,Naive CD4 T cell
N1_ncbi_literature,12594300,gamma delta T
N1_ncbi_literature,12594854,gamma delta T
N1_ncbi_literature,12597781,Proliferating T cell
N1_ncbi_literature,12626539,Proliferating T cell
N1_ncbi_literature,12629502,Naive CD4 T cell
N1_ncbi_literature,12634786,MAIT
N1_ncbi_literature,12645946,Naive CD4 T cell
N1_ncbi_literature,12646607,Memory CD8 T cell
N1_ncbi_literature,12646624,gamma delta T
N1_ncbi_literature,12650238,gamma delta T
N1_ncbi_literature,12653844,Memory CD4 T cell
N1_ncbi_literature,12653844,Naive CD4 T cell
N1_ncbi_literature,12653845,Memory CD4 T cell
N1_ncbi_literature,12654789,Memory CD4 T cell
N1_ncbi_literature,12660531,Naive CD4 T cell
N1_ncbi_literature,12660922,Memory CD8 T cell
N1_ncbi_literature,12661423,gamma delta T
N1_ncbi_literature,12662295,Naive CD4 T cell
N1_ncbi_literature,12669018,Memory CD8 T cell
N1_ncbi_literature,12672905,Naive CD4 T cell
N1_ncbi_literature,12681408,Naive CD8 T cell
N1_ncbi_literature,12681413,Memory CD8 T cell
N1_ncbi_literature,12682227,Memory CD8 T cell
N1_ncbi_literature,12691460,Memory CD8 T cell
N1_ncbi_literature,12692283,gamma delta T
N1_ncbi_literature,12699425,Memory CD4 T cell
N1_ncbi_literature,12699425,Memory CD8 T cell
N1_ncbi_literature,12699431,DN T cell
N1_ncbi_literature,12700447,Memory CD4 T cell
N1_ncbi_literature,12707303,Naive CD8 T cell
N1_ncbi_literature,12710099,gamma delta T
N1_ncbi_literature,12713589,gamma delta T
N1_ncbi_literature,12714247,Memory CD8 T cell
N1_ncbi_literature,12718752,Memory CD4 T cell
N1_ncbi_literature,12718752,Memory CD8 T cell
N1_ncbi_literature,12734330,Naive CD4 T cell
N1_ncbi_literature,12738248,Memory CD8 T cell
N1_ncbi_literature,12739062,Memory CD8 T cell
N1_ncbi_literature,12739715,Naive CD4 T cell
N1_ncbi_literature,12741626,Memory CD4 T cell
N1_ncbi_literature,12747771,Naive CD4 T cell
N1_ncbi_literature,12751960,Naive CD4 T cell
N1_ncbi_literature,12751960,Naive CD8 T cell
N1_ncbi_literature,12754504,Memory CD4 T cell
N1_ncbi_literature,12761360,gamma delta T
N1_ncbi_literature,12773518,Proliferating T cell
N1_ncbi_literature,12794112,Naive CD4 T cell
N1_ncbi_literature,12797537,Naive CD4 T cell
N1_ncbi_literature,12801802,Memory CD4 T cell
N1_ncbi_literature,12801806,gamma delta T
N1_ncbi_literature,12805064,Memory CD8 T cell
N1_ncbi_literature,12805064,Naive CD8 T cell
N1_ncbi_literature,12810686,Memory CD8 T cell
N1_ncbi_literature,12811250,Naive CD4 T cell
N1_ncbi_literature,12811838,Naive CD4 T cell
N1_ncbi_literature,1281285,gamma delta T
N1_ncbi_literature,12814400,Naive CD4 T cell
N1_ncbi_literature,12816983,Memory CD4 T cell
N1_ncbi_literature,12816983,Naive CD4 T cell
N1_ncbi_literature,12819483,Naive CD4 T cell
N1_ncbi_literature,1282473,gamma delta T
N1_ncbi_literature,12824778,Memory CD4 T cell
N1_ncbi_literature,12824778,Naive CD4 T cell
N1_ncbi_literature,12824778,Naive CD8 T cell
N1_ncbi_literature,12827303,Naive CD8 T cell
N1_ncbi_literature,12829610,Memory CD8 T cell
N1_ncbi_literature,12829791,Memory CD4 T cell
N1_ncbi_literature,1283050,gamma delta T
N1_ncbi_literature,12836019,Memory CD4 T cell
N1_ncbi_literature,12836019,Naive CD4 T cell
N1_ncbi_literature,12840055,Memory CD4 T cell
N1_ncbi_literature,1285383,gamma delta T
N1_ncbi_literature,1285862,gamma delta T
N1_ncbi_literature,12874237,gamma delta T
N1_ncbi_literature,12877896,Naive CD8 T cell
N1_ncbi_literature,12880372,Naive CD4 T cell
N1_ncbi_literature,12881309,gamma delta T
N1_ncbi_literature,12882658,Naive CD4 T cell
N1_ncbi_literature,12882838,Naive CD4 T cell
N1_ncbi_literature,12888794,Naive CD4 T cell
N1_ncbi_literature,12906263,Memory CD8 T cell
N1_ncbi_literature,12909449,Memory CD8 T cell
N1_ncbi_literature,12921762,Proliferating T cell
N1_ncbi_literature,12926051,gamma delta T
N1_ncbi_literature,12930397,Naive CD4 T cell
N1_ncbi_literature,12932289,gamma delta T
N1_ncbi_literature,12932290,Naive CD4 T cell
N1_ncbi_literature,12935986,gamma delta T
N1_ncbi_literature,12952926,Memory CD4 T cell
N1_ncbi_literature,12953134,Naive CD4 T cell
N1_ncbi_literature,1295332,DN T cell
N1_ncbi_literature,12954485,Memory CD8 T cell
N1_ncbi_literature,12956769,Memory CD4 T cell
